time [s]	total_relief [m]	mean incision[m/s]	mean diffusion [m/s]	energy expenditure [J/s]
5.102863920000000000e+13	1.004178350789040792e+03	3.227782460324875359e-11	0.000000000000000000e+00	1.071340477388100885e+07
5.106019680000000000e+13	1.003632836637794640e+03	3.227348388962859638e-11	0.000000000000000000e+00	1.071283395584798604e+07
5.109175440000000000e+13	1.003089774063036089e+03	3.227341299578071449e-11	0.000000000000000000e+00	1.071226733927853964e+07
5.112331200000000000e+13	1.002549160720561190e+03	3.227126938183318608e-11	0.000000000000000000e+00	1.071170079132855497e+07
5.115486960000000000e+13	1.002010994128957464e+03	3.226697398913084036e-11	0.000000000000000000e+00	1.071113631822543778e+07
5.118642720000000000e+13	1.001475271673216639e+03	3.226270617798688071e-11	0.000000000000000000e+00	1.071057600271883048e+07
5.121798480000000000e+13	1.000941990607636058e+03	3.226002856581685551e-11	0.000000000000000000e+00	1.071002121602931432e+07
5.124954240000000000e+13	1.000411148058296703e+03	3.225583116449977109e-11	0.000000000000000000e+00	1.070946762313682213e+07
5.128110000000000000e+13	9.998827410252880554e+02	3.225166034964820481e-11	0.000000000000000000e+00	1.070891809299303219e+07
5.131265760000000000e+13	9.993567663847800304e+02	3.224915246092621454e-11	0.000000000000000000e+00	1.070837259986436553e+07
5.134421520000000000e+13	9.988332208910009058e+02	3.224502042508377355e-11	0.000000000000000000e+00	1.070782953417133540e+07
5.137577280000000000e+13	9.983121011781533980e+02	3.224286192976642805e-11	0.000000000000000000e+00	1.070729117401618324e+07
5.140733040000000000e+13	9.977934037622924279e+02	3.223876977498871819e-11	0.000000000000000000e+00	1.070675419705408625e+07
5.143888800000000000e+13	9.972771250431720773e+02	3.223470363676571205e-11	0.000000000000000000e+00	1.070622118097044714e+07
5.147044560000000000e+13	9.967632613060734457e+02	3.223252131955347007e-11	0.000000000000000000e+00	1.070568731415446475e+07
5.150200320000000000e+13	9.962515154254695062e+02	3.222848757210189997e-11	0.000000000000000000e+00	1.070516034607578255e+07
5.153356080000000000e+13	9.957422978333599985e+02	3.222447949962826364e-11	0.000000000000000000e+00	1.070463728234197944e+07
5.156511840000000000e+13	9.952355545043969869e+02	3.222049703648425713e-11	0.000000000000000000e+00	1.070411809810164943e+07
