time [s]	total_relief [m]	mean incision[m/s]	mean diffusion [m/s]	energy expenditure [J/s]
2.056800000000000000e+05	1.478229912002172186e-01	2.823628246870470061e-06	-1.220576611909045847e-08	1.724202927560940365e-03
2.057400000000000000e+05	1.478273262483069117e-01	2.823581783668001567e-06	-1.220536739079320227e-08	1.724192638320391812e-03
2.058000000000000000e+05	1.478316490028100949e-01	2.823591895826077232e-06	-1.220496792195509610e-08	1.724182421398532273e-03
2.058600000000000000e+05	1.478359579088158460e-01	2.823565671945428997e-06	-1.220458141117308555e-08	1.724172116216734748e-03
2.059200000000000000e+05	1.478402513654339112e-01	2.823528202122335031e-06	-1.220420114399624376e-08	1.724161925371889238e-03
2.059800000000000000e+05	1.478445277342401720e-01	2.823469226144497165e-06	-1.220383053273132693e-08	1.724151792938413653e-03
2.060400000000000000e+05	1.478487853476324332e-01	2.823504317083199852e-06	-1.220346772386689733e-08	1.724141752090264414e-03
2.061000000000000000e+05	1.478530225172369483e-01	2.823506631239613515e-06	-1.220311106633945744e-08	1.724131657648699445e-03
2.061600000000000000e+05	1.478572375421997320e-01	2.823481047963722444e-06	-1.220275909886546996e-08	1.724121560186255356e-03
2.062200000000000000e+05	1.478614287172695385e-01	2.823451551623748559e-06	-1.220239581899105550e-08	1.724111502747828137e-03
2.062800000000000000e+05	1.478655943405897955e-01	2.823446165461603739e-06	-1.220202187578140174e-08	1.724101945094753995e-03
2.063400000000000000e+05	1.478697327211359880e-01	2.823428516770766142e-06	-1.220244411084778217e-08	1.724091942625690906e-03
2.064000000000000000e+05	1.478738422291853150e-01	2.823362285343301423e-06	-1.220279665004744610e-08	1.724081966740996421e-03
2.064600000000000000e+05	1.478779213294019179e-01	2.823269636659297522e-06	-1.220308395177219768e-08	1.724072092522512326e-03
2.065200000000000000e+05	1.478819686005979073e-01	2.823210914244530279e-06	-1.220331016741102089e-08	1.724062360838768751e-03
2.065800000000000000e+05	1.478859827454429010e-01	2.823189498600145021e-06	-1.220347924029928393e-08	1.724052719428036248e-03
2.066400000000000000e+05	1.478899625927468930e-01	2.823152205495151403e-06	-1.220359503854660453e-08	1.724043110805602514e-03
2.067000000000000000e+05	1.478939070944065015e-01	2.823106715038199942e-06	-1.220367151664579797e-08	1.724033559556295862e-03
2.067600000000000000e+05	1.478978153186654987e-01	2.823116263140358376e-06	-1.220373773971625694e-08	1.724009472138767840e-03
2.068200000000000000e+05	1.479016823904984179e-01	2.823061993730743587e-06	-1.220379013854698602e-08	1.723999976136491880e-03
2.068800000000000000e+05	1.479055158065108178e-01	2.823011621288099651e-06	-1.220382721434800273e-08	1.723990563803470604e-03
2.069400000000000000e+05	1.479093105728388480e-01	2.822956206020394934e-06	-1.220384711364903318e-08	1.723981229149432149e-03
2.070000000000000000e+05	1.479130663518250510e-01	2.822913117711856807e-06	-1.220384839798056851e-08	1.723971979983118449e-03
2.070600000000000000e+05	1.479167825807575776e-01	2.822911955678627936e-06	-1.220383002313192388e-08	1.723962797309940616e-03
2.071200000000000000e+05	1.479204588153698596e-01	2.822866953441495154e-06	-1.220379131290058403e-08	1.723953616458410000e-03
2.071800000000000000e+05	1.479240946469568829e-01	2.822854695223216673e-06	-1.220372617501043201e-08	1.723944505115355833e-03
2.072400000000000000e+05	1.479276897035835259e-01	2.822860211589762238e-06	-1.220363508618684058e-08	1.723935819142608569e-03
2.073000000000000000e+05	1.479312436411878151e-01	2.822839693755542154e-06	-1.220351858484750043e-08	1.723926718444865206e-03
2.073600000000000000e+05	1.479347561374328157e-01	2.822806525998265760e-06	-1.220337748962349539e-08	1.723917649590623853e-03
2.074200000000000000e+05	1.479382268863234096e-01	2.822825363518592209e-06	-1.220321269124102763e-08	1.723908632139563258e-03
